2014,4択,"A、B、Cなどのアルファベットを用いて日本語の音を表記したものを何という？
(1) 仮名 (2) 漢字 (3) 数字 (4) ローマ字",(4) ローマ字,,,タグ
2012,ノーマル,ボクシングで活躍する亀田三兄弟といえば、興毅(こうき)、大毅(だいき)と誰でしょう？,和毅(ともき)
2012,ノーマル,1808年にナポレオン・ボナパルトが導入した、フランスで大学入学資格を得るために行われる統一国家試験は何でしょう？,バカロレア
2012,ノーマル,パソコンと周辺機器の接続に用いられる「USB」は、何という言葉の略でしょう？,Universal Serial Bus(ユニバーサル・シリアル・バス)
2012,ノーマル,麻雀の平場で、親の役満上がりの際に得られる得点は何点でしょう？,48000点(48000てん)
2012,ノーマル,ラテン語で「保つ」という意味がある、男声合唱でいちばん高い音域のことを何というでしょう？,テノール
2012,ノーマル,「秋風の歌」「初恋」などの 51編の詩が収められた、島崎藤村の処女詩集は何でしょう？,『若菜集』(『わかなしゅう』)
2012,ノーマル,かつて一世を風靡した「花の中三トリオ」とは、森昌子、桜田淳子と誰でしょう？,山口百恵(やまぐちももえ)
2012,ノーマル,その名は「音の鳴らない鐘」という意味の英語に由来する、筋力トレーニングに用いる器具は何でしょう？,ダンベル
2012,ノーマル,昭和 62年に、当時の安田火災海上がおよそ 58億円で落札して話題となった、ある花を描いたゴッホの絵画は何でしょう？,『ひまわり』
2012,ノーマル,キリンのジェフリーをマスコットキャラクターとしている、大手おもちゃ販売チェーンは何でしょう？,トイザらス
2012,ノーマル,植物学者の三木茂が発見・命名した、和名を「アケボノスギ」という針葉樹は何でしょう？,メタセコイア
2012,ノーマル,世界四大文明のうち、唯一ユーラシア大陸以外で起こったのは何文明でしょう？,エジプト文明(えじぷとぶんめい)
2012,ノーマル,「チョベリバ」などがこれにあたる、以前は使われていたものの、現在ではほとんど使われなくなった言葉を特に何というでしょう？,死語(しご)
2012,ノーマル,相撲で、左右どちらの組み手でも相撲が取れることを「何四つ」というでしょう？,なまくら四つ(なまくらよつ)
2012,ノーマル,世界最大の透明度と最大水深を誇る、ロシア南東部にある湖は何でしょう？,バイカル湖(ばいかるみずうみ)
2012,ノーマル,今年の 10月5日でレコードデビュー50周年となる、『ヘルプ!』『レット・イット・ビー』などの曲で知られるロックバンドは何でしょう？,ザ・ビートルズ
2012,ノーマル,公転運動をする2つの天体の間に物体を置いた時に重力の安定する点のことを、提唱したフランスの数学者の名前から何というでしょう？,ラグランジュ・ポイント
2012,ノーマル,卵、小麦粉、パン粉のうち、トンカツを作るときに普通最初に肉につけるのはどれでしょう？,小麦粉(こむぎこ)
2012,ノーマル,血液中の酸素量が低下したときなどに発生する、皮膚や粘膜が青紫色になる状態を何というでしょう？,チアノーゼ【藍青症(らんせいしょう)】(ちあのーぜ【あいあおしょう(らんせいしょう)】)
2012,ノーマル,源頼朝の妻・政子の父である、鎌倉幕府の初代執権を務めた武将は誰でしょう？,北条時政(ほうじょうじせい)
2012,ノーマル,人気女性キャスターの山岸舞彩(やまぎし・まい)、皆藤愛子、小林麻央が所属している芸能事務所はどこでしょう？,セント・フォース
2012,ノーマル,陸上競技の三段跳びの、1歩目はホップ、2歩目はステップですが、3歩目は何というでしょう？,ジャンプ
2012,ノーマル,現在はカナダ人のジョン・ラルストン・ソウルが会長を務める、本部をロンドンに置く文芸家団体は何でしょう？,国際ペンクラブ(こくさいぺんくらぶ)
2012,ノーマル,化粧水や乳液といった肌を健康な状態に保つための化粧品のことを一般に何化粧品と言うでしょう？,基礎化粧品(きそけしょうひん)
2012,ノーマル,一般的に、近眼用のメガネに使われるレンズは、凸レンズ、凹レンズのどちらでしょう？,凹レンズ(おう)
2012,ノーマル,正式には「新人選手選択会議」という、プロ野球で、各球団が有力選手との交渉権を得るための会議を何というでしょう？,ドラフト会議(どらふとかいぎ)
2012,ノーマル,「ピンクリボン運動」といえば、どんな病気の早期発見のための活動でしょう？,乳癌(にゅうがん)
2012,ノーマル,株式市場で、午前の取引終了のことを前引けといいますが、一日の取引終了のことを何というでしょう？,大引け(おおびけ)
2012,ノーマル,漢字で「棒の網の球」と書く、カナダではアイスホッケーと共に国技とされている球技は何でしょう？,ラクロス
2012,ノーマル,断食を行うことで世間の注目を集め、主張を世に広めようとするストライキのことを特に何というでしょう？,ハンガーストライキ
2012,ノーマル,野菜を細かく立方体状に切ることを、何切りというでしょう？,さいの目切り(さいのめきりり)
2012,ノーマル,その社名は「絶対的な信頼」を意味する英語を略したものである、日本における音楽ヒットチャートの代名詞となっている会社はどこでしょう？,オリコン株式会社(おりこんかぶしきがいしゃ)
2012,ノーマル,ビカリア、三葉虫、アンモナイトなどのように、地層の地質年代を決める目安となる化石を何というでしょう？,示準(しじゅん)化石【標準化石】(しじゅん(しじゅん)かせき【ひょうじゅんかいし】)
2012,ノーマル,歌手ちあきなおみの日本レコード大賞受賞曲と、女優グレース・ケリーのアカデミー主演女優賞受賞作に共通するタイトルは何でしょう？,『喝采(かっさい)』(『かっさい(かっさい)』)
2012,ノーマル,釣りで、魚が1匹も釣れないことを俗に何というでしょう？,坊主(ボウズ)
2012,ノーマル,静岡県にある伊豆半島の、東側が面している海は相模湾ですが、西側が面している海は何湾でしょう？,駿河湾(するがわん)
2012,ノーマル,現在の日本の運転免許制度で、第二種運転免許を取得できるのは、何歳以上の人でしょう？,21歳(21とし)
2012,ノーマル,スペイン語で「乳飲み子」という意味の名がつけられた、株式会社三万石が販売している、福島の定番お土産は何でしょう？,ままどおる
2012,ノーマル,主に緯度の高い地域で見ることが出来る、夜空にカーテン状に広がる光の現象を何というでしょう？,オーロラ
2012,ノーマル,綱引きにおいて、チームの一番後ろで綱を引く人のことを何というでしょう？,アンカー
2011,ノーマル,「A」「B」「C」のうち、JIS規格で鉛筆の芯の固さに用いられているアルファベットはどれでしょう？,B
2011,ノーマル,柳刃、菜切、出刃などの種類がある、まな板と共に使われる台所用品は何でしょう？,包丁(ほうちょう)
2011,ノーマル,記号「m」で表される、「リットル」や「メートル」の頭について、「1000 分の1」を意味する言葉は何でしょう？,ミリ[milli]
2011,ノーマル,音楽バンドで歌を担当する人のことを英語で何というでしょう？,ボーカル[vocal](ボーカリスト[vocalist])
2011,ノーマル,俗に「三文の得」と呼ばれるのは、何をした時でしょう？,早起き(はやおき)
2011,ノーマル,日本プロ野球で、セ・リーグの「セ」はセントラルの略ですが、パ・リーグの「パ」は何という言葉の略でしょう？,パシフィック[Pacific]
2011,ノーマル,645 年から6年間使われた、日本最初の元号は何でしょう？,大化(たいか)
2011,ノーマル,アメリカ人のジミー・ウェールズらが創設した、誰でも自由に編集できるインターネット上のフリー百科事典は何でしょう？,Wikipedia(ウィキペディア)【「Wiki」はシステムのことなので×】
2011,ノーマル,『白雪姫』や『ブレーメンの音楽隊』などが有名な、編集したドイツ人兄弟の名がつけられた童話集は何でしょう？,グリム童話[TheGrimm Brothers'fairy tales](ぐりむどうわ[TheGrimm Brothers'fairy tales])
2011,ノーマル,2PM(ツーピーエム)、BIGBANG(ビッグバン)、KARA、少女時代といえば、いずれもどこの国出身の音楽グループでしょう？,韓国(大韓民国)
2011,ノーマル,テニスなどのラケット競技で、上から叩きつけるように打つ急角度のショットを英語で何というでしょう？,スマッシュ[smash]
2011,ノーマル,姓名の頭文字をアルファベットで表記したものを英語で何というでしょう？,イニシャル[initial]
2011,ノーマル,2003 年に打ち上げられた小惑星探査機と、東京駅と新青森駅を結ぶ新幹線に共通する愛称は何でしょう？,はやぶさ
2011,ノーマル,シンガプーラ、ロシアンブルー、ペルシャといえば、どんな動物の品種でしょう？,ネコ【「猫」「cat」など表現の違いは○】(ねこ【「ねこ」「cat」などひょうげんのちがいは○】)
2011,ノーマル,家庭用のコンセントから流れてくる電流は、直流と交流のどちらでしょう？,交流(こうりゅう)
2011,ノーマル,バスケットボールで、フリースローに成功した場合、与えられる得点は何点でしょう？,1点(1てん)
2011,ノーマル,人形の中に同じデザインの小さめの人形が入っており、それが繰り返される構造になっている、ロシアの伝統工芸品は何でしょう？,マトリョーシカ[Матрёшка]
2011,ノーマル,ヘブライ語で「たしかに」という意味がある、キリスト教で祈祷や賛美歌などの終りに唱える言葉は何でしょう？,アーメン[amen]
2011,ノーマル,『四季山水図』などの代表作で知られる、室町時代に水墨画を大成した画家は誰でしょう？,雪舟(せっしゅう)
2011,ノーマル,カメラで写真を撮る時に、照準を合わせるために覗き込む小窓を何というでしょう？,ファインダー[finder]
2011,ノーマル,漢字2文字で「鎧球(がいきゅう)」とも書き表される、ヘルメットやプロテクターなどを装備して行うスポーツは何でしょう？,アメリカンフットボール[Americanfootball]【「アメフト」も○、「鎧球」は問題文にあるので×】(あめりかんふっとぼーる[Americanfootball]【「あめふと」も○、「よろいたま」はもんだいぶんにあるので×】)
2011,ノーマル,「竹やぶ焼けた」や「新聞紙」などのように、前から読んでも後ろから読んでも同じ音となる文や言葉を何というでしょう？,回文(かいぶん、かいもん)【「パリンドローム[palindrome]」も○】(かいぶん(かいぶん、かいもん)【「ぱりんどろーむ[palindrome]」も○】)
2011,ノーマル,競馬法に基づいて中央競馬を開催する「日本中央競馬会」のことを、アルファベット3文字で何というでしょう？,JRA
2011,ノーマル,囲碁で用いる碁盤にある9つの星のうち、中心にあるものを特に何というでしょう？,天元(てんげん)
2011,ノーマル,1978 年、第1回日本アカデミー賞で外国作品賞を受賞した、シルベスター・スタローン演じるボクサーが主人公の映画は何でしょう？,『ロッキー[ROCKY]』
2011,ノーマル,物理学者のロバート、映画監督のダニー、歌手のスーザンに共通するファミリーネームは何でしょう？,ボイル[Boyle]
2011,ノーマル,濡れた路面を自動車で走っているときに、タイヤと路面の間に水が入ってコントロールが利かなくなることを何というでしょう？,ハイドロプレーニング現象[hydroplaning]【「アクアプレーニング現象」も○】(はいどろぷれーにんぐげんしょう[hydroplaning]【「あくあぷれーにんぐげんしょう」も○】)
2011,ノーマル,生まれてからちょうど1万日を経過した人は満何歳でしょう？,27 歳(27 とし)
2011,ノーマル,タタール海峡の日本での呼び名にその名を残す、樺太が島であることを確認した江戸時代後期の探検家は誰でしょう？,間宮林蔵(まみや・りんぞう)
2011,ノーマル,1901 年に発表された、与謝野晶子の第一詩集は何でしょう？,『みだれ髪』(『みだれかみ』)
2011,ノーマル,樹皮がなめらかなことから名前が付いた、夏に赤い花を咲かせるミソハギ科の樹木で、漢字では「百日紅」と書くものは何でしょう?【漢字の解答は不正解】,サルスベリ【問題文から「ヒャクジツコウ」は×】(さるすべり【もんだいぶんから「ひゃくじつこう」は×】)
2011,ノーマル,現地では「カラーリット・ヌナート」と呼ばれている、デンマークに属する世界最大の島は何でしょう？,グリーンランド[Greenland]
2011,ノーマル,鳥の胸にある上質な肉を、ある植物の葉の形にたとえて何というでしょう？,笹身(ささみ)
2011,ノーマル,オーストラリアの通貨単位はオーストラリアドルですが、オーストリアの通貨単位は何でしょう？,ユーロ[euro]
2011,ノーマル,ローマのサンタマリア・イン・コスメディン教会にある石の彫刻で、映画『ローマの休日』にも登場したのは何でしょう？,真実の口(しんじつのくち)
2011,ノーマル,医療機関にかかる際に、患者がその日の体調や既往歴について記入する用紙を何というでしょう？,問診表(問診票)
2011,ノーマル,幼稚園児や画家が汚れよけとして着る、ゆったりとした長めのブラウスを何というでしょう？,スモック[smock]【「スモッグ」は×】
2011,ノーマル,スキーのジャンプ競技で、着地するときに膝を曲げスキーを前後にずらす姿勢のことを何というでしょう?,テレマーク[Telemark]
2011,ノーマル,数学において、「証明終了」を意味するアルファベット3文字は何でしょう？,Q.E.D.【「quod eratdemonstrandum」の略】(Q.E.D.【「quod eratdemonstrandum」のりゃく】)
2011,ノーマル,メンデルスゾーンは『宗教改革』、ショスタコービッチは『革命』、ベートーベンは『運命』といえば、これらは交響曲第何番の題名でしょう？,5番(5ばん)
2011,ノーマル,「切手」「郵便」という言葉を考案した、1円切手に肖像が描かれている日本の政治家は誰でしょう？,前島密(まえじま・ひそか)
2011,ノーマル,ウエイト・トレーニングで破壊された筋肉が休憩によって修復されるとき、一時的に筋肉量が増える現象を何というでしょう？,超回復(ちょうかいふく)
2011,ノーマル,濃尾平野を流れる「木曽三川」とは、木曽川、長良川と何でしょう？,揖斐川(いびがわ)
2011,ノーマル,昭和 22 年に片山哲内閣の下で発表された、日本最初の白書は何でしょう？,『経済白書』(『経済実相報告書』)
2011,ノーマル,韓国の首都「ソウル」の英語表記にはあって、「魂」という意味の英単語「ソウル」にはないアルファベットは何でしょう？,e【Seoul と soul】
2011,ノーマル,力学におけるニュートンの3法則のうち、「作用・反作用の法則」と呼ばれるのは第何法則でしょう？,第3法則(だい3ほうそく)
2011,ノーマル,今年(2011年)行われた FIFA 女子ワールドカップで、MVP と得点王に輝いた選手は誰でしょう？,澤穂希(さわほまれ)
2011,ノーマル,小林賢太郎と片桐仁(かたぎり・じん)の2人からなるお笑いコンビは何でしょう？,ラーメンズ
2011,ノーマル,イギリスのノッティンガムに広がる、/伝説の義賊ロビン・フッドが住んでいたとされる森は何でしょう？,シャーウッドの森[Sherwood Forest](シャーウッドのもり)
2011,ノーマル,腕時計や懐中時計についている、時刻をあわせるためのつまみを何というでしょう？,竜頭(りゅうず)【「龍頭」「クラウン[crown]」「ワインダー[winder]」も○】(りゅうず(りゅうず)【「たつがしら」「くらうん[crown]」「わいんだー[winder]」も○】)
2011,ノーマル,箸遣いのタブーのひとつで、箸の先から汁をぽたぽたと落とす所作を何というでしょう？,涙箸(なみだばし)
2011,ノーマル,中国語では「机器猫」/「多拉哆啦」などと表記される、日本のアニメキャラクターは何でしょう？,ドラえもん(どらえもん)
2011,ノーマル,初代学長をジェームズ・ヘスターが務めた、日本に本部を置く唯一の国連機関は何でしょう？,国連大学【「国際連合大学」「United NationsUniversity」「UNU」も○】(こくれんだいがく【「こくさいれんごうだいがく」「United NationsUniversity」「UNU」も○】)
2011,ノーマル,企業や商店の取引に用いられる、利子はつかないが、小切手を発行できる銀行預金の一種は何でしょう？,当座預金(とうざよきん)
2011,ノーマル,アメリカ 50 州を、人口が多い方から並べても、アルファベット順で並べても最後になるのはどこでしょう？,ワイオミング州[State of Wyoming](わいおみんぐしゅう[State of Wyoming])
2011,ノーマル,水泳で、両足を揃えて上下に動かすバタフライ独特のキックを何というでしょう？,ドルフィンキック
2011,ノーマル,昨年末から今年にかけてチュニジアで起こった革命を、ある花の名前を使って「何革命」というでしょう？,ジャスミン革命[JasmineRevolution](じゃすみんかくめい[JasmineRevolution])
2011,ノーマル,建築物の、敷地面積に対する延べ床面積の割合を何というでしょう？,容積率【「建蔽率(けんぺいりつ)」は別のものなので×】(ようせきりつ【「けんぺいりつ(けんぺいりつ)」はべつのものなので×】)
2011,ノーマル,昭和新山があるのは北海道ですが、平成新山がある都道府県はどこでしょう？,長崎(ながさき)
2011,ノーマル,もともとは「たった一本しかないろうそく」という意味である、持っている服の中で最も上等の晴れ着を指す言葉は何でしょう？,一張羅(いっちょうら)
2011,ノーマル,衆議院議員の総選挙は、衆議院解散の日から何日以内に行うとされているでしょう？,40 日(40 にち)
2011,ノーマル,パリ警視庁やノートルダム寺院がある、パリのセーヌ川に浮かぶ島は何でしょう？,シテ島[Île de laCité](してしま[Île de laCité])
2011,ノーマル,昨年誕生した「チーム・フジヤマ」や「ロコ・ソラーレ」といえば、何の競技のスポーツチームでしょう？,カーリング[curling]
2011,ノーマル,スペイン語で「女の子」/という意味の、太平洋東部の赤道付近で海面水温が著しく低下する現象は何でしょう？,ラニーニャ現象[La Niña](ラニーニャ)
2011,ノーマル,全国の稲荷神社の総本宮とされる、京都市にある神社は何でしょう？,伏見稲荷大社【「伏見稲荷」も○、「伏見稲荷神社」は×】(ふしみいなりたいしゃ【「ふしみいなり」も○、「ふしみいなりじんじゃ」は×】)
2011,ノーマル,「竹生島(ちくぶしま)」は琵琶湖に浮かぶ島ですが、「嫁ヶ島(よめがしま)」は島根県の何という湖に浮かぶ島でしょう？,宍道湖(しんじこ)
2011,ノーマル,英語では「ハンマーヘッド・シャーク」という、左右に突き出した頭の両端に目があるサメの種類は何でしょう？,シュモクザメ(撞木鮫)
2011,ノーマル,20世紀最後のオリンピックはシドニーで行われましたが、19世紀最後のオリンピックはどこの都市で行われたでしょう？,パリ[Paris]
2011,ノーマル,昨年 12 月 28 日に 86 歳で亡くなった、『二十四の瞳』『カルメン故郷に帰る』などの映画に主演した往年の女優は誰でしょう？,高峰秀子(たかみね・ひでこ)
2011,ノーマル,江戸いろはがるたの札の中で、唯一の四字熟語は何でしょう?【かな解答可】,油断大敵(ゆだんたいてき)
2011,ノーマル,英語では「ウォークライ」という、ラグビーのニュージーランド代表・オールブラックスが試合前に行うマオリの民族舞踊は何でしょう？,ハカ[Haka]
2011,ノーマル,昨年は妹島和世(せじま・かずよ)と西沢立衛(にしざわ・りゅうえ)が受賞した、ハイアット財団により授与される「建築界のノーベル賞」とも呼ばれる賞は何でしょう？,プリツカー賞[ThePritzkerArchitecture Prize](ぷりつかーしょう[ThePritzkerArchitecture Prize])
2011,ノーマル,裁判長や議長が、静粛や注目を求めるために叩く木槌のことを英語で何というでしょう？,ガベル[gavel]
2011,ノーマル,俳句で、ひとつの句に季語が2つ以上詠み込まれてしまうことを何というでしょう？,季重なり(きがさなり)
2011,ノーマル,1970 年のメキシコ大会から一貫して、サッカーワールドカップの公式試合球を提供しているスポーツメーカーは何でしょう？,アディダス[adidas]
2011,ノーマル,来月より放送開始の NHK 朝の連続テレビ小説『カーネーション』で主人公のモデルとなる、ファッションデザイナー「コシノ三姉妹」の母親は誰でしょう？,小篠綾子(こしの・あやこ)
2011,ノーマル,漢数字の「一」の部首は「一」、「二」の部首は「二」ですが、「三」の部首は何でしょう?,一(いち)
2011,ノーマル,大相撲の決まり手 82 手のうち、唯一「足」という言葉がつく技は何でしょう？,足取り【「いさみ足」は決まり手ではないため×】(あしどり【「いさみあし」はきまりてではないため×】)
2011,ノーマル,本名の朝比奈知子(あさひな・ともこ)にちなんで「トンちゃん」の愛称がある、美空ひばり、江利チエミとともに「三人娘」に数えられる歌手は誰でしょう？,雪村いづみ【「雪村いずみ」も○】(ゆきむらいづみ【「ゆきむらいずみ」も○】)
2011,ノーマル,大手化粧品メーカーがボディクリームや石鹸に配合したことで知られるようになった、アカテツ科の植物から取れる植物性脂肪は何でしょう？,シアバター[sheabutter]
2011,ノーマル,「赤シャツ隊」を率いてシチリアと南イタリアを征服し、イタリア統一に貢献した人物は誰でしょう？,ジュゼッペ・ガリバルディ[GiuseppeGaribaldi]
2011,ノーマル,十種競技の中にある4種類のトラック競技で、走破する距離をすべて足すと何メートルになるでしょう？,2110m【100m、400m、110m ハードル、1500m の4つ】
2011,ノーマル,写真家のムンカッチ、ブラッサイ、ロバート・キャパは、いずれもどこの国の出身でしょう？,ハンガリー[Hungary]
2011,ノーマル,外交官が相手国から受け入れを拒否されることを、「好ましくない人物」という意味のラテン語で何というでしょう？,ペルソナ・ノン・グラータ[Personanon grata]
2011,ノーマル,アメリカの東海岸にあるニューヨークと、西海岸にあるロサンゼルスの時差は何時間でしょう？,3時間(3じかん)
2011,ノーマル,1965 年にボスホート2号に搭乗し、世界初の宇宙遊泳を行った旧ソ連の宇宙飛行士は誰でしょう？,アレクセイ・レオーノフ[Алексе́йАрхи́повичЛео́нов]
2011,ノーマル,カナダのノヴァスコシア州にある村の名前がついた、正式名称を「科学と国際問題に関する会議」という国際会議は何でしょう？,パグウォッシュ会議[PugwashConferences](ぱぐうぉっしゅかいぎ[PugwashConferences])
2011,ノーマル,器械体操に対し、道具を使わない体操を何というでしょう？,徒手(としゅ)体操(としゅ(としゅ)たいそう)
2011,ノーマル,鍋つかみなどに使われる、2枚の布の間に綿をはさんでマス目状のステッチを入れた布地を何というでしょう？,キルティング[quilting](キルト[quilt])【綴り字注意:「kilt」はスコットランドの民族衣装を指すので×】(きるてぃんぐ[quilting](きると[quilt])【つづりじちゅうい:「kilt」はすこっとらんどのみんぞくいしょうをさすので×】)
2011,ノーマル,アフリカ最大の湖・ヴィクトリア湖を囲む3つの国とは、ウガンダ、タンザニアとどこでしょう？,ケニア[Jamhuri yaKenya]
2011,ノーマル,代表作に『都会と犬ども』『緑の家』などがある、2010 年にノーベル文学賞を受賞したペルーの作家は誰でしょう？,ホセ・マリオ・ペドロ・バルガス=リョサ[Jorge Mario PedroVargas Llosa]【複合姓なので「リョサ」のみは×】(ほせ・まりお・ぺどろ・ばるがす=りょさ[Jorge Mario PedroVargas Llosa]【ふくごうせいなので「りょさ」のみは×】)
2011,ノーマル,「フライング V(ブイ)」「レスポール」といったエレキギターを製造する、アメリカの楽器メーカーは何でしょう？,ギブソン[Gibson]
2011,ノーマル,株価などが、値上がりから値下がりに転じることを「反落」というのに対し、値下がりから値上がりに転じることを何というでしょう？,反発【「反騰(はんとう)」も○】(はんぱつ【「はんとう(はんとう)」も○】)
2011,ノーマル,ウィング型やヘキサゴン型などの種類がある、キャンプでテントを覆ったり、陽射しを遮るために高くあげられる布のことを何というでしょう？,タープ[tarp]
2011,ノーマル,身分などを考えず気楽に行う集会を「無礼講」というのに対し、礼儀を守って行われる集会を何というでしょう？,慇懃講(いんぎんこう)
2011,ノーマル,伝統的な書き手のひとりである「右近」の苗字から名付けられた、寄席の看板や千社札に使用される文字の書体は何でしょう？,橘流(たちばなりゅう)【問題文から「寄席文字」は×】(たちばなりゅう(たちばなりゅう)【もんだいぶんから「よせもじ」は×】)
2011,ノーマル,英語で「幅広い」という意味がある、バレーボールで、アタッカーがネットと平行に素早く移動しながらスパイクを打つ攻撃のことを何というでしょう？,ブロード攻撃[Broad Attack]【「ブロード」が出れば○】(ぶろーどこうげき[Broad Attack]【「ぶろーど」がでれば○】)
2011,ノーマル,松尾芭蕉の『奥の細道』にも記述がある、筆と墨壺を組み合わせた携帯用の筆記用具一式を何というでしょう？,矢立(やたて)
2011,ノーマル,井上赳(いのうえ・たけし)作詞の唱歌『電車ごっこ』で、電車ごっこをして遊んでいるのは全部で何人でしょう？,6人【「運転手はきみだ 車掌はぼくだ あとの四人が電車のお客」】(6にん【「うんてんしゅはきみだ しゃしょうはぼくだ あとのよにんがでんしゃのおきゃく」】)
2011,ノーマル,今年・2011 年の十干十二支は何でしょう?,辛卯(かのとう、かのとのう、しんぼう) 8a(かのとう(かのとう、かのとのう、しんぼう) 8a)
2011,ノーマル,アルファベットを覚える『ABCの歌』で、ふつうメロディに使われている童謡は何でしょう？,"『きらきら星』(『光れよお星』『ママ、きいてちょうだい』『Twinkle,Twinkle,Little Star』)"
2011,ノーマル,昨年、生誕50周年を記念して映画が公開された、「音速の貴公子」のニックネームで知られた今は亡きF1ドライバーは誰でしょう？,アイルトン・セナ
2011,ノーマル,代表作に『牛肉と馬鈴薯』『運命論者』『武蔵野』などがある、日本の小説家は誰でしょう？,国木田独歩(くにきだ・どっぽ)
2011,ノーマル,三葉虫やアンモナイトなどのように、地層が堆積した地質時代を示す化石を何というでしょう？,示準化石(しじゅんかせき)【「標準化石」も○】(しじゅんかせき(しじゅんかせき)【「ひょうじゅんかいし」も○】)
2011,ノーマル,北海道生まれの人を「道産子」といいますが、この「道産子」とは元々どんな動物のことを指していたでしょう？,馬(うま)
2011,ノーマル,2000万人以上の会員を持つ、株式会社DeNA(ディーエヌエー)の携帯電話向けゲームポータルサイトは何でしょう？,モバゲータウン
2011,ノーマル,リップスライムのメンバーで、ILMARIの奥さんは蛯原友里(えびはら・ゆり)ですが、SUの奥さんは誰でしょう？,大塚愛(おおつかあい)
2011,ノーマル,長野県と熊本県の県の花である、漢字で「竜の胆(きも)」と書く植物は何でしょう？,リンドウ
2011,ノーマル,国際的には「フライハーフ」と呼ばれる、ラグビーで司令塔の役割を果たすポジションは何でしょう？,スタンドオフ
2011,ノーマル,ロシア語で「大きな河口」という意味がある、日本海を北から南へ流れる寒流は何でしょう？,リマン海流(りまんかいりゅう)
2011,ノーマル,今年の第53回グラミー賞で、ラリー・カールトンと共に最優秀ポップ・インストゥルメンタル・アルバム賞を受賞した、日本のロックデュオ・B'zのギタリストは誰でしょう？,松本孝弘(まつもと・たかひろ)
2011,ノーマル,キューバにおける砂糖などのように、一国の生産や輸出が特定産品に依存している経済を何というでしょう？,モノカルチャー経済(モノカルチャー)
2011,ノーマル,1970年、八幡(やはた)製鉄と富士製鉄の合併により誕生した日本最大の製鉄メーカーは何でしょう？,新日本製鉄(しんにほんせいてつ)
2011,ノーマル,明治維新の中心となった「薩長土肥(さっちょうとひ)」と呼ばれた4つの藩とは、薩摩藩、長州藩、土佐藩と何でしょう？,肥前(ひぜん)藩(ひぜん(ひぜん)はん)
2011,ノーマル,英語で「重ねられた」/という意味のとおり、服を重ね着するファッションを何というでしょう？,レイヤード
2011,ノーマル,日本のプロ野球12球団の本拠地のうち、唯一、宗教法人が運営をしているのはどこでしょう？,明治神宮野球場(じんぐう)
2011,ノーマル,日本麻雀連盟の初代総裁でもあった作家で、代表作に『父帰る』『恩讐の彼方に』などがあるのは誰でしょう？,菊池寛(きくち・かん)
2011,ノーマル,王水を生成する際に必要な2つの物質とは、塩酸と何でしょう？,硝酸(濃硝酸)
2011,ノーマル,今年開業10周年を迎えた、様々なハリウッド映画をモチーフとする大阪市のアミューズメント施設は何でしょう？,ユニバーサル・スタジオ・ジャパン
2011,ノーマル,17世紀初頭、惑星運動に関する3つの法則を発見した、ドイツの天文学者は誰でしょう？,ヨハネス・ケプラー
2011,ノーマル,日本体育協会の初代会長も務めた、講道館を設立し「日本柔道の父」と呼ばれる柔道家は誰でしょう？,嘉納治五郎(かのう・じごろう)
2011,ノーマル,収納家具の「たんす」を漢字2文字で書いたとき、共通する部首は何でしょう？,たけかんむり
2011,ノーマル,併設されるビッグ・ベンでも有名な、イギリスの国会議事堂となっている宮殿といえば何でしょう？,ウェストミンスター宮殿【「ウェストミンスター寺院」は別の建物なので×】(うぇすとみんすたーきゅうでん【「うぇすとみんすたーじいん」はべつのたてものなので×】)
2011,ノーマル,本名を渡部実(わたべ・みのる)という、『別れの一本杉』『お富さん』などの歌謡曲で人気を博した歌手は誰でしょう？,春日八郎(かすが・はちろう)
2011,ノーマル,国政選挙などで、その土地に全くゆかりの無い候補者のことを俗に「何候補」というでしょう？,落下傘(らっかさん)候補(らっかさん(らっかさん)こうほ)
2011,ノーマル,アメリカの大統領で、ニューディール政策を推し進めたのはフランクリン・ルーズベルトですが、フェアディール政策を推し進めたのは誰でしょう？,ハリー・トルーマン
2011,ノーマル,現在は三吉彩花(みよし・あやか)が7代目のCMイメージキャラクターを務める、サントリーフーズが製造・販売している清涼飲料水は何でしょう？,なっちゃん
2011,ノーマル,はしご、ほうき、天の川、東京タワーなど、ひもで作った輪で様々な形を作り上げる子供の遊びは何でしょう？,あやとり
2011,ノーマル,かつては詩人の谷川俊太郎と婚姻関係にあった絵本作家で、代表作『100万回生きたねこ』で知られるのは誰でしょう？,佐野洋子(さの・ようこ)
2011,ノーマル,季節によって成長の早さが異なるため形成される、木の断面にできる同心円状の模様を何というでしょう？,年輪(ねんりん)
2011,ノーマル,外国のお墓によく刻まれている、「安らかに眠れ」という意味のアルファベット3文字は何でしょう？,R.I.P.
2011,ノーマル,日曜・祝日が平日を挟み、1日おきに休日がやってくることを特に何というでしょう？,飛び石連休(とびせきれんきゅう)
2011,ノーマル,1884年にフランスで始まった、出品自由で審査を行わない美術展覧会を何というでしょう？,アンデパンダン
2011,ノーマル,2003年に日本人として初めて世界ゴルフ殿堂入りを果たした、元女子プロゴルファーは誰でしょう？,樋口久子(ひぐち・ひさこ)
2011,ノーマル,医療機関が市町村などへ請求する医療費の明細書を、ドイツ語で何というでしょう？,レセプト
2011,ノーマル,道路交通法で、原動機付自転車の法定速度は時速何キロとされているでしょう？,30キロ
